Created at,Id,Nom,Description,Stock,Poids,Catégorie,Prix en cents d'€,Nb de ventes - ca
2018-07-05 07:17:24 UTC,81,"Sarah, boite n°2","BOITE


 Pièce façonnée au tour.
 Faïence émaillée d'un blanc mat légèrement satiné , rendu porcelaine.
 Calligraphie libre effectuée au pinceau. 
 Le trait ne subit aucune modification à la cuisson , il est tel que je l'ai peint. 


PIÈCE UNIQUE 


Diamètre 16.5 cm Hauteur 28,8 cm 

Laissez -vous entraîner dans cette contrée lointaine , basculez dans une dimension parallèle , un monde intime et onirique s'ouvre à vous.....",0,5000,PIÈCE  D'EXCEPTION,48000,"1 - 480,00 €"
2018-06-22 19:52:17 UTC,80,BOL n°10 JUIN 2018," BOL

 Pièce tournée.
 Faïence émaillée d'un blanc satiné. 
Calligraphie exécutée au pinceau.
 le trait peut avoir un peu de relief en surface.

 Céramique utilitaire.
 Pas de micro-onde. 

 PIÈCE UNIQUE 

 Hauteur 9 cm, Diamètre 7.5 cm",1,600,Bol,5800,"0 - 0,00 €"
2018-06-22 19:48:37 UTC,79,BOL n°9 JUIN 2018,"BOL 

Pièce tournée. 
Faïence émaillée d'un blanc satiné. 
Calligraphie exécutée au pinceau. 
le trait peut avoir un peu de relief en surface. 

Céramique utilitaire. 
Pas de micro-onde. 

PIÈCE UNIQUE

 Hauteur 9 cm, Diamètre 7.5 cm",1,600,Bol,4800,"0 - 0,00 €"
2018-06-22 19:45:36 UTC,78,BOL n°8 JUIN 2018,"BOL 

Pièce tournée. 
Faïence émaillée d'un blanc satiné. 
Calligraphie exécutée au pinceau.
 le trait peut avoir un peu de relief en surface. 

Céramique utilitaire.
 Pas de micro-onde.

 PIÈCE UNIQUE

 Hauteur 9 cm, Diamètre 7.5 cm",1,600,Bol,5200,"0 - 0,00 €"
2018-06-22 19:41:10 UTC,77,BOL n°7 JUIN 2018,"BOL 

Pièce tournée. 
Faïence émaillée d'un blanc satiné.
 Calligraphie exécutée au pinceau.
 le trait peut avoir un peu de relief en surface. 

Céramique utilitaire. 
Pas de micro-onde. 

PIÈCE UNIQUE 

Hauteur 9 cm, Diamètre 7.5 cm",1,600,Bol,4800,"0 - 0,00 €"
2018-06-22 19:38:18 UTC,76,BOL n°6 JUIN 2018,"BOL 

Pièce tournée. 
Faïence émaillée d'un blanc satiné. 
Calligraphie exécutée au pinceau. 
le trait peut avoir un peu de relief en surface. 

Céramique utilitaire.
Pas de micro-onde.

 PIÈCE UNIQUE

 Hauteur 9 cm, Diamètre 7.5 cm",1,600,Bol,4800,"0 - 0,00 €"
2018-06-22 19:35:34 UTC,75,BOL n°5 JUIN 2018," BOL

 Pièce tournée.
 Faïence émaillée d'un blanc satiné.
 Calligraphie exécutée au pinceau. 
 le trait peut avoir un peu de relief en surface.

 Céramique utilitaire. 
 Pas de micro-onde.

 PIÈCE UNIQUE

 Hauteur 9 cm, Diamètre 7.5 cm",1,600,Bol,4200,"0 - 0,00 €"
2018-06-22 18:32:54 UTC,74,BOL n°3 JUIN 2018,"BOL

 Pièce tournée.
 Faïence émaillée d'un blanc satiné.
 Calligraphie exécutée au pinceau. 
 le trait peut avoir un peu de relief en surface.

Céramique utilitaire. 
Pas de micro-onde. 

PIÈCE UNIQUE

 Hauteur 9 cm, Diamètre 7.5 cm",1,600,Bol,4200,"0 - 0,00 €"
2018-06-22 18:17:26 UTC,73,BOL n°4 JUIN 2018," BOL
 Pièce réalisée au tour.
 Faïence émaillée d'un blanc satiné. 
 Calligraphie exécutée au pinceau. 
 le trait peut avoir un peu de relief en surface.
 Céramique utilitaire.

 Pas de micro-onde.

 PIÈCE UNIQUE

 Hauteur 9 cm, Diamètre 7.5 cm",1,600,Bol,4800,"0 - 0,00 €"
2018-06-22 18:06:27 UTC,72,BOL n°2 JUIN 2018,"BOL

 Pièce réalisée au tour.
 Faïence émaillée d'un blanc satiné. 
 Calligraphie exécutée au pinceau.
 le trait peut avoir un peu de relief en surface. 

Céramique utilitaire. 
Pas de micro-onde. 

PIÈCE UNIQUE

 Hauteur 9 cm, Diamètre 7.5 cm",1,600,Bol,4800,"0 - 0,00 €"
